"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2001:b07:ae5:604b:605a:732d:3322:5c15","2a00:1450:4013:c05::bc","TCP","75","23212  >  5228 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"2","0.033519","2a00:1450:4013:c05::bc","2001:b07:ae5:604b:605a:732d:3322:5c15","TCP","86","5228  >  23212 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"3","0.215760","2001:b07:ae5:604b:605a:732d:3322:5c15","2a00:1450:4002:405::2002","TCP","75","23264  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"4","0.230848","2a00:1450:4002:405::2002","2001:b07:ae5:604b:605a:732d:3322:5c15","TCP","86","443  >  23264 [ACK] Seq=1 Ack=2 Win=262 Len=0 SLE=1 SRE=2"
"5","0.288037","192.168.1.254","239.255.255.250","SSDP","403","NOTIFY * HTTP/1.1 "
"6","0.288037","192.168.1.254","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"7","0.288037","192.168.1.254","239.255.255.250","SSDP","412","NOTIFY * HTTP/1.1 "
"8","0.288037","192.168.1.254","239.255.255.250","SSDP","471","NOTIFY * HTTP/1.1 "
"9","0.288037","192.168.1.254","239.255.255.250","SSDP","412","NOTIFY * HTTP/1.1 "
"10","0.288037","192.168.1.254","239.255.255.250","SSDP","451","NOTIFY * HTTP/1.1 "
"11","0.288037","192.168.1.254","239.255.255.250","SSDP","412","NOTIFY * HTTP/1.1 "
"12","0.288037","192.168.1.254","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"13","0.288037","192.168.1.254","239.255.255.250","SSDP","465","NOTIFY * HTTP/1.1 "
"14","0.288037","192.168.1.254","239.255.255.250","SSDP","467","NOTIFY * HTTP/1.1 "
"15","0.377393","2001:b07:ae5:604b:605a:732d:3322:5c15","2a00:1450:4013:c00::66","TCP","75","23230  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"16","0.412613","2a00:1450:4013:c00::66","2001:b07:ae5:604b:605a:732d:3322:5c15","TCP","86","443  >  23230 [ACK] Seq=1 Ack=2 Win=268 Len=0 SLE=1 SRE=2"
"17","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=1 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=1461 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=2921 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=4381 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=5841 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.602847","192.168.1.64","18.195.202.253","TCP","1514","19886  >  443 [ACK] Seq=7301 Ack=1 Win=508 Len=1460 [TCP segment of a reassembled PDU]"
